"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1056","1963","Fermata 1963 - CIMITERO GRUGLIASCO","C.TORINO - CIMITERO - GRUGLIASCO","45.06391","7.59152","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1963","","","Europe/Rome","1"
"1057","1964","Fermata 1964 - DA VINCI","C.TORINO DOPO V.L.DA VINCI GRUGLIASCO","45.06466","7.58791","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1964","","","Europe/Rome","2"
"1058","1965","Fermata 1965 - DA VINCI","C.TORINO / V.L.DA VINCI GRUGLIASCO","45.06454","7.58802","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1965","","","Europe/Rome","1"
"1059","1966","Fermata 1966 - LAMARMORA","C.TORINO / V.MICHELANGELO GRUGLIASCO","45.06552","7.58358","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1966","","","Europe/Rome","1"
"1060","1967","Fermata 1967 - LAMARMORA","C.TORINO / V.MICHELANGELO GRUGLIASCO","45.06542","7.58344","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1967","","","Europe/Rome","1"
"1061","1968","Fermata 1968 - MORGARI","C.TORINO N.13 GRUGLIASCO","45.06584","7.58089","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1968","","","Europe/Rome","1"
"1062","1969","Fermata 1969 - MORGARI","C.TORINO FRONTE V.MORGARI GRUGLIASCO","45.06579","7.58024","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1969","","","Europe/Rome","1"
"1063","197","Fermata 197 - OSPEDALE COTTOLENGO","C.REGINA MARGH. / V DELLA CONSOLATA","45.07805","7.67913","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=197","","","Europe/Rome","1"
"1064","1970","Fermata 1970 - GARIBALDI","V.ECHIROLLES / V.GARIBALDI  GRUGLIASCO","45.06729","7.57498","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1970","","","Europe/Rome","1"
"1065","1971","Fermata 1971 - GOITO","V.TRON FRONTE V.GOITO  GRUGLIASCO","45.06382","7.5733","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1971","","","Europe/Rome","1"
"1066","1972","Fermata 1972 - PAPA GIOVANNI XXIII","P.PAPA GIOVANNI XXIII GRUGLIASCO","45.06353","7.57197","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1972","","","Europe/Rome","1"
"1067","1973","Fermata 1973 - ROMA","VIALE ECHIROLLES FRONTE VIA ROMA","45.06597","7.57836","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1973","","","Europe/Rome","1"
"1068","1974","Fermata 1974 - ROMA","VIALE ECHIROLLES DOPO VIA ROMA","45.06628","7.57829","3","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1974","","","Europe/Rome","1"
"1069","1975","Fermata 1975 - PUGLIA N.35","V.LE PUGLIA FRONTE N. 35","45.10693","7.72455","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1975","","","Europe/Rome","1"
"1070","1976","Fermata 1976 - FRANZOI","V.CARRERA / V.BERRUTI","45.08049","7.6168","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1976","","","Europe/Rome","1"
"1071","1977","Fermata 1977 - BERRUTI","STR.ANTICA DI COLLEGNO / V.BIANCO","45.08235","7.61671","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1977","","","Europe/Rome","1"
"1072","1978","Fermata 1978 - CASCINETTE","STR. CASCINETTE DOPO C. GIULIO CESARE","45.1159","7.71023","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1978","","","Europe/Rome","1"
"1073","1979","Fermata 1979 - SOSTEGNO","STR.ANTICA DI COLLEGNO / V.SOSTEGNO","45.08177","7.62038","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=1979","","","Europe/Rome","1"
"1074","198","Fermata 198 - OSPEDALE COTTOLENGO","C.REGINA MARGH. N.148","45.07838","7.67899","0","http://www.gtt.to.it/cms/percorari/arrivi?option=com_gtt&view=palina&realtime=true&palina=198","","","Europe/Rome","1"
